Frame: 40, Tracker ID: 3, Speed: 126 km/h
Frame: 40, Tracker ID: 2, Speed: 122 km/h
Frame: 41, Tracker ID: 1, Speed: 82 km/h
Frame: 41, Tracker ID: 3, Speed: 129 km/h
Frame: 41, Tracker ID: 4, Speed: 133 km/h
Frame: 41, Tracker ID: 2, Speed: 126 km/h
Frame: 42, Tracker ID: 1, Speed: 79 km/h
Frame: 42, Tracker ID: 4, Speed: 133 km/h
Frame: 42, Tracker ID: 3, Speed: 129 km/h
Frame: 42, Tracker ID: 2, Speed: 122 km/h
Frame: 43, Tracker ID: 1, Speed: 79 km/h
Frame: 43, Tracker ID: 3, Speed: 129 km/h
Frame: 43, Tracker ID: 4, Speed: 133 km/h
Frame: 43, Tracker ID: 2, Speed: 126 km/h
Frame: 44, Tracker ID: 1, Speed: 82 km/h
Frame: 44, Tracker ID: 3, Speed: 129 km/h
Frame: 44, Tracker ID: 4, Speed: 133 km/h
Frame: 44, Tracker ID: 2, Speed: 126 km/h
Frame: 45, Tracker ID: 1, Speed: 79 km/h
Frame: 45, Tracker ID: 4, Speed: 129 km/h
Frame: 45, Tracker ID: 3, Speed: 129 km/h
Frame: 45, Tracker ID: 2, Speed: 126 km/h
Frame: 46, Tracker ID: 1, Speed: 79 km/h
Frame: 46, Tracker ID: 3, Speed: 129 km/h
Frame: 46, Tracker ID: 4, Speed: 133 km/h
Frame: 46, Tracker ID: 2, Speed: 126 km/h
Frame: 47, Tracker ID: 1, Speed: 79 km/h
Frame: 47, Tracker ID: 3, Speed: 129 km/h
Frame: 47, Tracker ID: 4, Speed: 133 km/h
Frame: 47, Tracker ID: 2, Speed: 122 km/h
Frame: 48, Tracker ID: 1, Speed: 82 km/h
Frame: 48, Tracker ID: 3, Speed: 126 km/h
Frame: 48, Tracker ID: 4, Speed: 133 km/h
Frame: 48, Tracker ID: 2, Speed: 126 km/h
Frame: 49, Tracker ID: 1, Speed: 79 km/h
Frame: 49, Tracker ID: 4, Speed: 133 km/h
Frame: 49, Tracker ID: 3, Speed: 118 km/h
Frame: 49, Tracker ID: 2, Speed: 126 km/h
Frame: 50, Tracker ID: 1, Speed: 79 km/h
Frame: 50, Tracker ID: 4, Speed: 129 km/h
Frame: 50, Tracker ID: 3, Speed: 111 km/h
Frame: 50, Tracker ID: 2, Speed: 126 km/h
Frame: 51, Tracker ID: 1, Speed: 82 km/h
Frame: 51, Tracker ID: 4, Speed: 133 km/h
Frame: 51, Tracker ID: 3, Speed: 108 km/h
Frame: 51, Tracker ID: 2, Speed: 126 km/h
Frame: 52, Tracker ID: 1, Speed: 82 km/h
Frame: 52, Tracker ID: 4, Speed: 129 km/h
Frame: 52, Tracker ID: 2, Speed: 122 km/h
Frame: 52, Tracker ID: 3, Speed: 100 km/h
Frame: 53, Tracker ID: 1, Speed: 82 km/h
Frame: 53, Tracker ID: 4, Speed: 133 km/h
Frame: 53, Tracker ID: 2, Speed: 126 km/h
Frame: 53, Tracker ID: 3, Speed: 97 km/h
Frame: 54, Tracker ID: 1, Speed: 82 km/h
Frame: 54, Tracker ID: 4, Speed: 136 km/h
Frame: 54, Tracker ID: 2, Speed: 122 km/h
Frame: 54, Tracker ID: 3, Speed: 90 km/h
Frame: 55, Tracker ID: 1, Speed: 82 km/h
Frame: 55, Tracker ID: 4, Speed: 136 km/h
Frame: 55, Tracker ID: 5, Speed: 193 km/h
Frame: 55, Tracker ID: 2, Speed: 122 km/h
Frame: 56, Tracker ID: 4, Speed: 133 km/h
Frame: 56, Tracker ID: 1, Speed: 82 km/h
Frame: 56, Tracker ID: 5, Speed: 186 km/h
Frame: 56, Tracker ID: 2, Speed: 122 km/h
Frame: 57, Tracker ID: 1, Speed: 82 km/h
Frame: 57, Tracker ID: 5, Speed: 186 km/h
Frame: 57, Tracker ID: 4, Speed: 129 km/h
Frame: 57, Tracker ID: 2, Speed: 122 km/h
Frame: 58, Tracker ID: 1, Speed: 82 km/h
Frame: 58, Tracker ID: 4, Speed: 122 km/h
Frame: 58, Tracker ID: 5, Speed: 180 km/h
Frame: 58, Tracker ID: 2, Speed: 122 km/h
Frame: 59, Tracker ID: 1, Speed: 82 km/h
Frame: 59, Tracker ID: 4, Speed: 115 km/h
Frame: 59, Tracker ID: 5, Speed: 174 km/h
Frame: 59, Tracker ID: 2, Speed: 122 km/h
Frame: 60, Tracker ID: 1, Speed: 79 km/h
Frame: 60, Tracker ID: 4, Speed: 111 km/h
Frame: 60, Tracker ID: 5, Speed: 175 km/h
Frame: 60, Tracker ID: 2, Speed: 122 km/h
Frame: 61, Tracker ID: 1, Speed: 79 km/h
Frame: 61, Tracker ID: 5, Speed: 170 km/h
Frame: 61, Tracker ID: 2, Speed: 122 km/h
Frame: 61, Tracker ID: 4, Speed: 104 km/h
Frame: 62, Tracker ID: 1, Speed: 75 km/h
Frame: 62, Tracker ID: 5, Speed: 171 km/h
Frame: 62, Tracker ID: 2, Speed: 122 km/h
Frame: 62, Tracker ID: 4, Speed: 100 km/h
Frame: 63, Tracker ID: 1, Speed: 72 km/h
Frame: 63, Tracker ID: 5, Speed: 167 km/h
Frame: 63, Tracker ID: 2, Speed: 122 km/h
Frame: 64, Tracker ID: 1, Speed: 68 km/h
Frame: 64, Tracker ID: 5, Speed: 163 km/h
Frame: 64, Tracker ID: 2, Speed: 122 km/h
Frame: 65, Tracker ID: 1, Speed: 64 km/h
Frame: 65, Tracker ID: 5, Speed: 164 km/h
Frame: 65, Tracker ID: 2, Speed: 118 km/h
Frame: 66, Tracker ID: 1, Speed: 64 km/h
Frame: 66, Tracker ID: 5, Speed: 161 km/h
Frame: 66, Tracker ID: 2, Speed: 122 km/h
Frame: 67, Tracker ID: 1, Speed: 61 km/h
Frame: 67, Tracker ID: 5, Speed: 162 km/h
Frame: 67, Tracker ID: 2, Speed: 118 km/h
Frame: 68, Tracker ID: 1, Speed: 54 km/h
Frame: 68, Tracker ID: 5, Speed: 162 km/h
Frame: 68, Tracker ID: 2, Speed: 122 km/h
Frame: 69, Tracker ID: 1, Speed: 54 km/h
Frame: 69, Tracker ID: 5, Speed: 118 km/h
Frame: 69, Tracker ID: 2, Speed: 118 km/h
Frame: 70, Tracker ID: 1, Speed: 50 km/h
Frame: 70, Tracker ID: 5, Speed: 122 km/h
Frame: 70, Tracker ID: 2, Speed: 118 km/h
Frame: 71, Tracker ID: 1, Speed: 46 km/h
Frame: 71, Tracker ID: 5, Speed: 122 km/h
Frame: 71, Tracker ID: 2, Speed: 122 km/h
Frame: 72, Tracker ID: 1, Speed: 43 km/h
Frame: 72, Tracker ID: 5, Speed: 118 km/h
Frame: 72, Tracker ID: 2, Speed: 118 km/h
Frame: 73, Tracker ID: 5, Speed: 122 km/h
Frame: 73, Tracker ID: 1, Speed: 39 km/h
Frame: 73, Tracker ID: 2, Speed: 122 km/h
Frame: 74, Tracker ID: 5, Speed: 118 km/h
Frame: 74, Tracker ID: 2, Speed: 118 km/h
Frame: 74, Tracker ID: 7, Speed: 110 km/h
Frame: 74, Tracker ID: 1, Speed: 36 km/h
Frame: 75, Tracker ID: 5, Speed: 122 km/h
Frame: 75, Tracker ID: 1, Speed: 32 km/h
Frame: 75, Tracker ID: 2, Speed: 122 km/h
Frame: 75, Tracker ID: 7, Speed: 109 km/h
Frame: 76, Tracker ID: 5, Speed: 118 km/h
Frame: 76, Tracker ID: 2, Speed: 122 km/h
Frame: 76, Tracker ID: 7, Speed: 114 km/h
Frame: 76, Tracker ID: 1, Speed: 28 km/h
Frame: 77, Tracker ID: 5, Speed: 118 km/h
Frame: 77, Tracker ID: 2, Speed: 118 km/h
Frame: 77, Tracker ID: 7, Speed: 112 km/h
Frame: 77, Tracker ID: 1, Speed: 25 km/h
Frame: 78, Tracker ID: 5, Speed: 122 km/h
Frame: 78, Tracker ID: 2, Speed: 122 km/h
Frame: 78, Tracker ID: 7, Speed: 111 km/h
Frame: 79, Tracker ID: 5, Speed: 118 km/h
Frame: 79, Tracker ID: 2, Speed: 126 km/h
Frame: 79, Tracker ID: 7, Speed: 110 km/h
Frame: 80, Tracker ID: 5, Speed: 122 km/h
Frame: 80, Tracker ID: 2, Speed: 122 km/h
Frame: 80, Tracker ID: 7, Speed: 113 km/h
Frame: 80, Tracker ID: 1, Speed: 21 km/h
Frame: 81, Tracker ID: 5, Speed: 118 km/h
Frame: 81, Tracker ID: 2, Speed: 122 km/h
Frame: 81, Tracker ID: 7, Speed: 112 km/h
Frame: 81, Tracker ID: 1, Speed: 18 km/h
Frame: 82, Tracker ID: 5, Speed: 118 km/h
Frame: 82, Tracker ID: 2, Speed: 122 km/h
Frame: 82, Tracker ID: 7, Speed: 115 km/h
Frame: 83, Tracker ID: 5, Speed: 122 km/h
Frame: 83, Tracker ID: 2, Speed: 122 km/h
Frame: 83, Tracker ID: 7, Speed: 114 km/h
Frame: 84, Tracker ID: 5, Speed: 118 km/h
Frame: 84, Tracker ID: 2, Speed: 122 km/h
Frame: 84, Tracker ID: 7, Speed: 117 km/h
Frame: 85, Tracker ID: 5, Speed: 122 km/h
Frame: 85, Tracker ID: 2, Speed: 122 km/h
Frame: 85, Tracker ID: 7, Speed: 116 km/h
Frame: 86, Tracker ID: 5, Speed: 118 km/h
Frame: 86, Tracker ID: 2, Speed: 122 km/h
Frame: 86, Tracker ID: 7, Speed: 115 km/h
Frame: 87, Tracker ID: 5, Speed: 118 km/h
Frame: 87, Tracker ID: 2, Speed: 122 km/h
Frame: 87, Tracker ID: 7, Speed: 115 km/h
Frame: 88, Tracker ID: 5, Speed: 122 km/h
Frame: 88, Tracker ID: 2, Speed: 122 km/h
Frame: 88, Tracker ID: 7, Speed: 115 km/h
Frame: 89, Tracker ID: 5, Speed: 118 km/h
Frame: 89, Tracker ID: 2, Speed: 126 km/h
Frame: 89, Tracker ID: 7, Speed: 115 km/h
Frame: 90, Tracker ID: 5, Speed: 122 km/h
Frame: 90, Tracker ID: 2, Speed: 122 km/h
Frame: 90, Tracker ID: 7, Speed: 108 km/h
Frame: 91, Tracker ID: 5, Speed: 118 km/h
Frame: 91, Tracker ID: 2, Speed: 122 km/h
Frame: 91, Tracker ID: 7, Speed: 108 km/h
Frame: 92, Tracker ID: 5, Speed: 118 km/h
Frame: 92, Tracker ID: 2, Speed: 118 km/h
Frame: 92, Tracker ID: 7, Speed: 108 km/h
Frame: 93, Tracker ID: 5, Speed: 122 km/h
Frame: 93, Tracker ID: 2, Speed: 122 km/h
Frame: 93, Tracker ID: 7, Speed: 111 km/h
Frame: 94, Tracker ID: 5, Speed: 118 km/h
Frame: 94, Tracker ID: 2, Speed: 122 km/h
Frame: 94, Tracker ID: 7, Speed: 115 km/h
Frame: 95, Tracker ID: 5, Speed: 118 km/h
Frame: 95, Tracker ID: 2, Speed: 122 km/h
Frame: 95, Tracker ID: 7, Speed: 111 km/h
Frame: 96, Tracker ID: 5, Speed: 122 km/h
Frame: 96, Tracker ID: 2, Speed: 126 km/h
Frame: 96, Tracker ID: 7, Speed: 108 km/h
Frame: 97, Tracker ID: 5, Speed: 118 km/h
Frame: 97, Tracker ID: 2, Speed: 118 km/h
Frame: 97, Tracker ID: 7, Speed: 111 km/h
Frame: 98, Tracker ID: 5, Speed: 118 km/h
Frame: 98, Tracker ID: 2, Speed: 122 km/h
Frame: 98, Tracker ID: 7, Speed: 111 km/h
Frame: 99, Tracker ID: 5, Speed: 118 km/h
Frame: 99, Tracker ID: 2, Speed: 122 km/h
Frame: 99, Tracker ID: 7, Speed: 115 km/h
Frame: 100, Tracker ID: 5, Speed: 118 km/h
Frame: 100, Tracker ID: 2, Speed: 122 km/h
Frame: 100, Tracker ID: 7, Speed: 108 km/h
Frame: 101, Tracker ID: 5, Speed: 122 km/h
Frame: 101, Tracker ID: 2, Speed: 122 km/h
Frame: 101, Tracker ID: 7, Speed: 111 km/h
Frame: 102, Tracker ID: 5, Speed: 118 km/h
Frame: 102, Tracker ID: 2, Speed: 118 km/h
Frame: 102, Tracker ID: 7, Speed: 111 km/h
Frame: 103, Tracker ID: 5, Speed: 118 km/h
Frame: 103, Tracker ID: 7, Speed: 115 km/h
Frame: 103, Tracker ID: 2, Speed: 115 km/h
Frame: 104, Tracker ID: 5, Speed: 118 km/h
Frame: 104, Tracker ID: 7, Speed: 108 km/h
Frame: 104, Tracker ID: 2, Speed: 118 km/h
Frame: 105, Tracker ID: 5, Speed: 118 km/h
Frame: 105, Tracker ID: 7, Speed: 111 km/h
Frame: 105, Tracker ID: 2, Speed: 118 km/h
Frame: 106, Tracker ID: 5, Speed: 122 km/h
Frame: 106, Tracker ID: 7, Speed: 108 km/h
Frame: 106, Tracker ID: 2, Speed: 118 km/h
Frame: 107, Tracker ID: 5, Speed: 118 km/h
Frame: 107, Tracker ID: 7, Speed: 104 km/h
Frame: 107, Tracker ID: 2, Speed: 122 km/h
Frame: 108, Tracker ID: 5, Speed: 118 km/h
Frame: 108, Tracker ID: 7, Speed: 108 km/h
Frame: 108, Tracker ID: 2, Speed: 118 km/h
Frame: 109, Tracker ID: 5, Speed: 118 km/h
Frame: 109, Tracker ID: 2, Speed: 122 km/h
Frame: 109, Tracker ID: 7, Speed: 108 km/h
Frame: 110, Tracker ID: 5, Speed: 118 km/h
Frame: 110, Tracker ID: 2, Speed: 122 km/h
Frame: 110, Tracker ID: 7, Speed: 108 km/h
Frame: 111, Tracker ID: 5, Speed: 118 km/h
Frame: 111, Tracker ID: 2, Speed: 118 km/h
Frame: 111, Tracker ID: 7, Speed: 108 km/h
Frame: 112, Tracker ID: 5, Speed: 118 km/h
Frame: 112, Tracker ID: 2, Speed: 122 km/h
Frame: 112, Tracker ID: 7, Speed: 108 km/h
Frame: 113, Tracker ID: 5, Speed: 118 km/h
Frame: 113, Tracker ID: 2, Speed: 118 km/h
Frame: 113, Tracker ID: 7, Speed: 108 km/h
Frame: 114, Tracker ID: 5, Speed: 118 km/h
Frame: 114, Tracker ID: 7, Speed: 111 km/h
Frame: 114, Tracker ID: 2, Speed: 118 km/h
Frame: 115, Tracker ID: 5, Speed: 118 km/h
Frame: 115, Tracker ID: 2, Speed: 122 km/h
Frame: 115, Tracker ID: 7, Speed: 108 km/h
Frame: 116, Tracker ID: 5, Speed: 118 km/h
Frame: 116, Tracker ID: 2, Speed: 122 km/h
Frame: 116, Tracker ID: 7, Speed: 111 km/h
Frame: 117, Tracker ID: 5, Speed: 115 km/h
Frame: 117, Tracker ID: 2, Speed: 118 km/h
Frame: 117, Tracker ID: 7, Speed: 108 km/h
Frame: 118, Tracker ID: 5, Speed: 118 km/h
Frame: 118, Tracker ID: 2, Speed: 118 km/h
Frame: 118, Tracker ID: 7, Speed: 104 km/h
Frame: 119, Tracker ID: 5, Speed: 118 km/h
Frame: 119, Tracker ID: 2, Speed: 118 km/h
Frame: 119, Tracker ID: 7, Speed: 108 km/h
Frame: 120, Tracker ID: 5, Speed: 118 km/h
Frame: 120, Tracker ID: 2, Speed: 115 km/h
Frame: 120, Tracker ID: 7, Speed: 108 km/h
Frame: 121, Tracker ID: 5, Speed: 115 km/h
Frame: 121, Tracker ID: 7, Speed: 111 km/h
